
Observation dimension: 9
Action feature dimension: 32
Agent initialized on cuda. Starting training...

Ep 1370/2000 | Steps:  30 | Util: 0.482 | WUtil: 0.000 | Items: 30/51 | MA50: 0.479 | Best: 0.553 | ε: 0.233 | Loss: 0.0002
Ep 1380/2000 | Steps:  30 | Util: 0.457 | WUtil: 0.000 | Items: 30/51 | MA50: 0.480 | Best: 0.553 | ε: 0.228 | Loss: 0.0002
Ep 1390/2000 | Steps:  28 | Util: 0.472 | WUtil: 0.000 | Items: 28/51 | MA50: 0.482 | Best: 0.553 | ε: 0.222 | Loss: 0.0002
Ep 1400/2000 | Steps:  33 | Util: 0.529 | WUtil: 0.000 | Items: 33/51 | MA50: 0.483 | Best: 0.553 | ε: 0.216 | Loss: 0.0002
Ep 1410/2000 | Steps:  30 | Util: 0.505 | WUtil: 0.000 | Items: 30/51 | MA50: 0.486 | Best: 0.554 | ε: 0.210 | Loss: 0.0002
Ep 1420/2000 | Steps:  30 | Util: 0.478 | WUtil: 0.000 | Items: 30/51 | MA50: 0.485 | Best: 0.554 | ε: 0.204 | Loss: 0.0002
Ep 1430/2000 | Steps:  30 | Util: 0.507 | WUtil: 0.000 | Items: 30/51 | MA50: 0.490 | Best: 0.563 | ε: 0.198 | Loss: 0.0002
Ep 1440/2000 | Steps:  33 | Util: 0.489 | WUtil: 0.000 | Items: 33/51 | MA50: 0.492 | Best: 0.563 | ε: 0.193 | Loss: 0.0002
Ep 1450/2000 | Steps:  32 | Util: 0.486 | WUtil: 0.000 | Items: 32/51 | MA50: 0.487 | Best: 0.563 | ε: 0.187 | Loss: 0.0002
Ep 1460/2000 | Steps:  31 | Util: 0.495 | WUtil: 0.000 | Items: 31/51 | MA50: 0.490 | Best: 0.563 | ε: 0.181 | Loss: 0.0002
Ep 1470/2000 | Steps:  31 | Util: 0.490 | WUtil: 0.000 | Items: 31/51 | MA50: 0.491 | Best: 0.563 | ε: 0.175 | Loss: 0.0002
Ep 1480/2000 | Steps:  28 | Util: 0.497 | WUtil: 0.000 | Items: 28/51 | MA50: 0.490 | Best: 0.563 | ε: 0.169 | Loss: 0.0002
Ep 1490/2000 | Steps:  31 | Util: 0.512 | WUtil: 0.000 | Items: 31/51 | MA50: 0.493 | Best: 0.563 | ε: 0.163 | Loss: 0.0002
Ep 1500/2000 | Steps:  32 | Util: 0.462 | WUtil: 0.000 | Items: 32/51 | MA50: 0.500 | Best: 0.563 | ε: 0.157 | Loss: 0.0002
Ep 1510/2000 | Steps:  33 | Util: 0.439 | WUtil: 0.000 | Items: 33/51 | MA50: 0.498 | Best: 0.563 | ε: 0.151 | Loss: 0.0003
Ep 1520/2000 | Steps:  30 | Util: 0.497 | WUtil: 0.000 | Items: 30/51 | MA50: 0.504 | Best: 0.563 | ε: 0.145 | Loss: 0.0003
Ep 1530/2000 | Steps:  36 | Util: 0.560 | WUtil: 0.000 | Items: 36/51 | MA50: 0.508 | Best: 0.563 | ε: 0.139 | Loss: 0.0002
Ep 1540/2000 | Steps:  31 | Util: 0.489 | WUtil: 0.000 | Items: 31/51 | MA50: 0.508 | Best: 0.563 | ε: 0.133 | Loss: 0.0003
Ep 1550/2000 | Steps:  38 | Util: 0.560 | WUtil: 0.000 | Items: 38/51 | MA50: 0.514 | Best: 0.563 | ε: 0.127 | Loss: 0.0003
Ep 1560/2000 | Steps:  30 | Util: 0.516 | WUtil: 0.000 | Items: 30/51 | MA50: 0.518 | Best: 0.563 | ε: 0.121 | Loss: 0.0002
